('桃李草莓酱口袋三明治面包100g', 'GOODS768', '6970441500206'),
('桃李奶棒面包240g', 'GOODS769', '6970441500046'),
('桃李迷你豆沙面包170g', 'GOODS770', '6970441500039'),
('桃李红豆烧面包80g', 'GOODS772', '6970441500244'),
('桃李豆沙起酥面包100g', 'GOODS773', '6970441500107'),
('桃李豆沙馅铜锣烧70g', 'GOODS774', '6970441500190'),
('桃李牛奶味爆浆Q团90g', 'GOODS775', '6970717335129'),
('桃李芒果味爆浆Q团90g', 'GOODS776', '6970717335105'),
('桃李菠菠面包80g', 'GOODS777', '6970441500275'),
('桃李牛奶蛋羹馅天然酵母面包75g', 'GOODS778', '6922222702156'),
('桃李巧克力馅天然酵母面包75g', 'GOODS779', '6922222702163'),
('桃李鸡蛋香松包120g', 'GOODS771', '6970441500237'),
('桃李醇熟切片面包400g', 'GOODS766', '6970441500015'),
('桃李全麦醇熟切片面包400g', 'GOODS767', '6970441500022'),
('桃李焙软吐司面包300g', 'GOODS780', '6970441500121'),
('BRIDOR法式牛角包冷冻面团25g*225', 'GOODS819', '2100000819003'),
('BRIDOR迷你苹果派冷冻面团40g*255', 'GOODS817', '2100000817009'),
('松尚食品培根三明治冷冻面团130g*6*4', 'GOODS821', '2100000821006'),
('松尚食品德式焗烤冷冻面团115g*5*7', 'GOODS823', '2100000823000'),
('松尚食品金枪鱼三明治冷冻面团110g*6*4', 'GOODS825', '2100000825004'),
('朱师傅干燥珠葱100g', 'GOODS829', '2100000829002'),
('松尚食品蒜香片法棍25g*20*4', 'GOODS831', '2100000831005'),
('胜利宝港式糯米鸡(大)1500g', 'GOODS824', '6920275409596'),
('胜利宝台湾卤肉饭团900g', 'GOODS826', '6920275408575'),
('胜利宝海鲜饭团900g', 'GOODS827', '6920275409695'),
('合膳龙糖水黄桃218g', 'GOODS148', '6932697610351'),
('合膳龙糖水双桃218g', 'GOODS149', '6932697610368'),
('宗家府切件泡菜40g', 'GOODS145', '6935036481872'),
('宗家府萝卜干泡菜40g', 'GOODS146', '6935036482633'),
('宗家府黄瓜泡菜40g', 'GOODS147', '6935036482671'),
('万威客热狗肠蜜糖味45g', 'GOODS82', '6920969900545'),
('万威客热狗肠黑椒味45g', 'GOODS83', '6920969900538'),
('百吉福棒棒奶酪(原味)120g', 'GOODS143', '6922477400616'),
('百吉福棒棒奶酪(水果味)120g', 'GOODS144', '6922477400722'),
('味全每日C橙汁300ml', 'GOODS100', '6932571040007'),
('味全每日C葡萄汁300ml', 'GOODS101', '6932571040168'),
('SUN&SHINE 奇异果混合汁300ml', 'GOODS129', '4892998000669'),
('SUN&SHINE 红心番石榴混合汁300ml', 'GOODS130', '4892998000904'),
('SUN&SHINE 芒果混合汁300ml', 'GOODS131', '4892998000676'),
